"","Date","A","B","C","Cash","Stocks","Bonds","Commodities"
"1","4/30/2014",0.021653586,-0.0019,0.0215,0.000186125,0.00739147565849207,0.00843852051489646,0.0243584688899126
"2","5/31/2014",0.028396938,0.0249,0.0245,0.0001895,0.0234762355681295,0.0113853117086045,-0.0287464209325669
"3","6/30/2014",0.022867003,0.0114,0.0038,0.00019225,0.0206563246166258,0.00051677383952331,0.00596352793585564
"4","7/31/2014",-0.026719931,0.0311,-0.0226,0.00019925,-0.0137915308345846,-0.00250798722044709,-0.049835473960771
"5","8/31/2014",0.030952748,0.0097,0.0444,0.000194666666666667,0.0400063941721678,0.0110394012672892,-0.0104514305257236
"6","9/30/2014",-0.041832885,-0.0108,-0.0082,0.000195916666666667,-0.014022847167709,-0.00678997027408079,-0.0622579526481626
"7","10/31/2014",-0.007737587,0.0413,0.0432,0.000193416666666667,0.0244248033961996,0.00982930291157924,-0.00803886567321588
"8","11/30/2014",0.019432376,0.0369,0.0628,0.000194666666666667,0.0268940948209107,0.00709623078542787,-0.0406786351553725
"9","12/31/2014",0.002635417,0.0231,0.0073,0.000213,-0.00251921163494673,0.000935663955506039,-0.076261421760528
"10","1/31/2015",0.096620104,-0.0186,0.0356,0.000210916666666667,-0.0300203743792188,0.0209674808211531,-0.0334021497761801
"11","2/28/2015",0.036178407,-0.0355,0.001,0.000218208333333333,0.0574737164549761,-0.00940143834845719,0.0257629528678673
"12","3/31/2015",0.039939767,0.029,0.0246,0.000225625,-0.0158156641027103,0.00464206047587545,-0.0513631201575128
"13","4/30/2015",-0.0109489,-0.0307,-0.0321,0.000232291666666667,0.00959458855744866,-0.00358752691930064,0.0573383667961467
"14","5/31/2015",0.022052242,0.0238,7e-04,0.000236458333333333,0.0128586228258769,-0.00240889278621725,-0.0269814494459722
"15","6/30/2015",-0.038901983,-0.0192,-0.0314,0.000236,-0.019359166114134,-0.0109049731641485,0.0172742795989997
"16","7/31/2015",0.014481993,0.0268,0.0395,0.000257166666666667,0.0209520814497424,0.00695283053390372,-0.106190377657323
"17","8/31/2015",-0.067042369,-0.0025,-0.046,0.000274166666666667,-0.0603342060680734,-0.0014380720489674,-0.00918764076789691
"18","9/30/2015",0.001430399,0.0569,0.0363,0.000270833333333333,-0.0247435634774303,0.00676399330359545,-0.0341718155128123
"19","10/31/2015",0.036185356,-0.0118,-0.0145,0.000278416666666667,0.0843545265351511,0.000170416694638353,-0.00446188855339602
"20","11/30/2015",0.014147713,-0.0015,0.0352,0.000346833333333333,0.0029731384304621,-0.0026435903261115,-0.0725425137624685
"21","12/31/2015",-0.034197039,0.0144,-0.015,0.000510583333333333,-0.0157719607297753,-0.00323041560539228,-0.0308574863701082
"22","1/31/2016",0.010518789,-0.0045,0.0385,0.0005105,-0.0496231944735182,0.0137581801184175,-0.0168065262911877
"23","2/29/2016",-0.057704943,-0.0148,0.0213,0.000527583333333333,-0.0013491338010333,0.00709568674464212,-0.0162656887637107
"24","3/31/2016",-0.015985481,-0.009,-0.0305,0.000523833333333333,0.0678373117621425,0.00917211838798582,0.0382168350520184
"25","4/30/2016",-0.018251706,-0.012,-0.0145,0.0005305,0.00387802050548536,0.00384117110350535,0.0851214799009641
"26","5/31/2016",0.001056289,-0.0164,-0.0155,0.0005715,0.017957218508641,0.000256102521354329,-0.00188922279264125
"27","6/30/2016",-0.027728774,0.0455,0.0531,0.000545083333333333,0.00259225103904792,0.0179677694663385,0.0413081974620579
"28","7/31/2016",0.004674141,-2e-04,0.0099,0.000632583333333333,0.0368680084975337,0.00632246546562887,-0.0511151405561785
"29","8/31/2016",0.012931351,-0.0035,-0.018,0.000699441666666667,0.00140478453084381,-0.00114187139489641,-0.0176209744731576
"30","9/30/2016",0.007437362,-0.0039,-0.0022,0.000711391666666667,0.000186880049704685,-0.000588760560893298,0.0313201179926883
"31","10/31/2016",0.09512465,0.007,-0.0255,0.0007369,-0.0182404526990633,-0.00764857779654127,-0.00488502496178178
"32","11/30/2016",0.02078603,-0.0078,-0.0115,0.000778475,0.0370351146472103,-0.0236519244088259,0.0133353544599366
"33","12/31/2016",0.029100765,0.0077,0.0159,0.000831575,0.0197653328503022,0.00140860057053405,0.0180249791725164
"34","1/31/2017",-0.008017106,-0.005338203,-0.0104,0.000862133333333333,0.0189662183954804,0.00196319515070598,0.00135468349179391
"35","2/28/2017",0.014360629,0.013555774,0.0235,0.000886666666666667,0.039708152419486,0.00672137356394331,0.00208769092015348
"36","3/31/2017",0.023893667,-0.022847141,9e-04,0.000957966666666667,0.00116480951613962,-0.000526695960994306,-0.0266148431467419
"37","4/30/2017",-0.016762048,-0.004391201,-0.0064,0.000976941666666667,0.0102705692332445,0.00771890730786851,-0.0150562010996036
"38","5/31/2017",-0.020432178,-0.008047684,0.0027,0.00100833333333333,0.0140725262932899,0.00769464462694658,-0.0132825217640088
"39","6/30/2017",-0.002236276,0.007451571,-0.0179,0.00108264166666667,0.00624174614031103,-0.00100329158717827,-0.00192185526905631
"40","7/31/2017",-0.00062006,0.031104728,-2e-04,0.00109213333333333,0.0205627613095198,0.00430413939474916,0.0226109655278965
